CTFIP,Hispanic,Non Hispanic
6001,323307,1154673
6003,63,1113
6005,4566,33761
6007,29512,189123
6009,4595,41399
6011,11136,10029
6013,239836,784973
6015,4896,23575
6017,20641,158412
6019,446727,462103
6021,9989,17946
6023,12251,120807
6025,132679,35373
6027,3310,15124
6029,388756,426937
6031,74726,76396
6033,10505,53866
6035,5974,29107
6037,4599258,5158998
6039,76719,71019
6041,35829,212772
6043,1699,16591
6045,18468,69019
6047,134778,115921
6049,1261,8344
6051,3484,10421
6053,218868,188567
6055,41074,92977
6057,7913,90273
6059,973899,1991626
6061,41206,295271
6063,1593,18799
6065,933529,1175935
6067,289636,1105508
6069,29835,24657
6071,960138,1045149
6073,940777,2081691
6075,116075,673097
6077,253771,419842
6079,52751,212826
6081,172151,532176
6083,170439,245612
6085,456367,1283029
6087,79100,177801
6089,14162,162744
6091,264,3102
6093,4454,40236
6095,94832,315210
6097,112084,361963
6099,206983,302699
6101,25945,67475
6103,13017,49558
6105,892,12809
6107,253058,176346
6109,5740,50334
6111,315604,493476
6113,57963,138455
6115,17072,54088
