"TABLE 17a: Weekday Linked and Unlinked Trips Distributed by Particular Travel Mode and Group"
""
"County","TRAVEL MODE GROUP","MODE","Number of Unlinked Trips","Percent of Total Unlinked","Number of Linked Trips","Percent of Total Linked"
"California","Vehicle Driver","Auto / Van / Truck D",76313379,52.4,64814501,56
"California","&nbsp;","Motorcycle / Scooter",331138,0.2,318575,0.3
"California","&nbsp;","Rental Car/Vehicle",237928,0.2,202840,0.2
"California","&nbsp;","TOTAL",76882445,52.8,65335915,56.4
"California","Vehicle Passenger","Auto / Van / Truck P",33265773,22.8,28823946,24.9
"California","&nbsp;","Carpool / Vanpool",907843,0.6,793295,0.7
"California","&nbsp;","Private shuttle (Sup",260320,0.2,142169,0.1
"California","&nbsp;","Taxi / Hired Car / L",149972,0.1,104440,0.1
"California","&nbsp;","Other Private Transi",130245,0.1,111670,0.1
"California","&nbsp;","TOTAL",34714152,23.8,29975520,25.9
"California","Local Public Transit","Local Bus, Rapid Bus",3817447,2.6,2467322,2.1
"California","&nbsp;","School Bus ",1163288,0.8,1082725,0.9
"California","&nbsp;","BART, Metro Red / Pu",873840,0.6,671942,0.6
"California","&nbsp;","Metro Blue / Green /",694826,0.5,461841,0.4
"California","&nbsp;","ACE, Amtrak, Caltrai",225273,0.2,195740,0.2
"California","&nbsp;","Express Bus / Commut",171098,0.1,135356,0.1
"California","&nbsp;","Public Transit Shutt",96451,0.1,64848,0.1
"California","&nbsp;","Premium Bus ( Metro ",75335,0.1,41985,0
"California","&nbsp;","Dial-a-Ride / Paratr",69623,0,64947,0.1
"California","&nbsp;","Other Bus",52655,0,35159,0
"California","&nbsp;","Street Car / Cable C",33818,0,18482,0
"California","&nbsp;","Amtrak Bus ",6479,0,4726,0
"California","&nbsp;","AirBART / LAX FlyAwa",4692,0,1087,0
"California","&nbsp;","TOTAL",7284825,5,5246160,4.5
"California","Intercity Public Transportation","Plane",145992,0.1,110340,0.1
"California","&nbsp;","Greyhound Bus",4024,0,3890,0
"California","&nbsp;","TOTAL",150016,0.1,114230,0.1
"California","Miscelleneous Modes","Walk",23786347,16.3,12740214,11
"California","&nbsp;","Bike",2405358,1.7,2075458,1.8
"California","&nbsp;","Other Non-Motorized ",210059,0.1,175083,0.2
"California","&nbsp;","Wheelchair / Mobilit",93410,0.1,57166,0
"California","&nbsp;","Other Rail      ",79566,0.1,56571,0
"California","&nbsp;","Ferry / Boat",23694,0,16798,0
"California","&nbsp;","TOTAL",26598434,18.3,15121290,13.1
"California","ALL GROUPS","TOTAL",145629873,100,115793115,100
"Alameda","Vehicle Driver","Auto / Van / Truck D",3751317.63304021,47.3,3073368,51.5
"Alameda","&nbsp;","Motorcycle / Scooter",22604.6344588062,0.3,20851,0.3
"Alameda","&nbsp;","Rental Car/Vehicle",4604.34209654743,0.1,2036,0
"Alameda","&nbsp;","TOTAL",3778526.60959556,47.7,3096255,51.9
"Alameda","Vehicle Passenger","Auto / Van / Truck P",1588997.37931803,20,1350227,22.6
"Alameda","&nbsp;","Carpool / Vanpool",62995.2093661124,0.8,59462,1
"Alameda","&nbsp;","Private shuttle (Sup",23077.7904151215,0.3,10211,0.2
"Alameda","&nbsp;","Taxi / Hired Car / L",4332.73424503305,0.1,4060,0.1
"Alameda","&nbsp;","Other Private Transi",4211.66990249427,0.1,2565,0
"Alameda","&nbsp;","TOTAL",1683614.78324679,21.2,1426524,23.9
"Alameda","Local Public Transit","BART, Metro Red / Pu",392583.44610297,5,304065,5.1
"Alameda","&nbsp;","Local Bus, Rapid Bus",199868.803806717,2.5,127820,2.1
"Alameda","&nbsp;","Express Bus / Commut",31915.1456892547,0.4,25454,0.4
"Alameda","&nbsp;","School Bus ",26958.9158351817,0.3,25281,0.4
"Alameda","&nbsp;","ACE, Amtrak, Caltrai",12441.5436750517,0.2,11868,0.2
"Alameda","&nbsp;","Public Transit Shutt",6958.35579890037,0.1,3638,0.1
"Alameda","&nbsp;","Dial-a-Ride / Paratr",3682.38812305652,0,2377,0
"Alameda","&nbsp;","Other Bus",3666.79118218647,0,1816,0
"Alameda","&nbsp;","AirBART / LAX FlyAwa",2225.06603861951,0,NA,NA
"Alameda","&nbsp;","Metro Blue / Green /",1973.48645965566,0,1786,0
"Alameda","&nbsp;","Street Car / Cable C",609.324609775954,0,609,0
"Alameda","&nbsp;","Amtrak Bus ",222.753602434229,0,128,0
"Alameda","&nbsp;","TOTAL",683106.020923804,8.6,504844,8.5
"Alameda","Intercity Public Transportation","Plane",12981.8372011963,0.2,8315,0.1
"Alameda","&nbsp;","TOTAL",12981.8372011963,0.2,8315,0.1
"Alameda","Miscelleneous Modes","Walk",1594922.65938283,20.1,808057,13.5
"Alameda","&nbsp;","Bike",166183.354671765,2.1,118035,2
"Alameda","&nbsp;","Wheelchair / Mobilit",5475.64296907043,0.1,4799,0.1
"Alameda","&nbsp;","Other Non-Motorized ",3787.07868742511,0,3571,0.1
"Alameda","&nbsp;","Ferry / Boat",650.656094403733,0,413,0
"Alameda","&nbsp;","Other Rail      ",378.497398632018,0,NA,NA
"Alameda","&nbsp;","TOTAL",1771397.88920413,22.3,934876,15.7
"Alameda","ALL GROUPS","TOTAL",7929627.14017148,100,5970814,100
"Alpine","Vehicle Passenger","Auto / Van / Truck P",46582.5009267567,36.4,44964,38.2
"Alpine","&nbsp;","Private shuttle (Sup",8617.99197568398,6.7,8395,7.1
"Alpine","&nbsp;","Taxi / Hired Car / L",1218.51186700693,1,120,0.1
"Alpine","&nbsp;","TOTAL",56419.0047694476,44.1,53478,45.4
"Alpine","Vehicle Driver","Auto / Van / Truck D",54935.1228838965,43,52364,44.5
"Alpine","&nbsp;","Rental Car/Vehicle",375.288812823496,0.3,375,0.3
"Alpine","&nbsp;","TOTAL",55310.41169672,43.3,52740,44.8
"Alpine","Intercity Public Transportation","Plane",8493.29832144115,6.6,3878,3.3
"Alpine","&nbsp;","TOTAL",8493.29832144115,6.6,3878,3.3
"Alpine","Local Public Transit","School Bus ",39.738184479114,0,NA,NA
"Alpine","&nbsp;","TOTAL",39.738184479114,0,NA,NA
"Alpine","Miscelleneous Modes","Walk",7582.50207440415,5.9,7583,6.4
"Alpine","&nbsp;","TOTAL",7582.50207440415,5.9,7583,6.4
"Alpine","ALL GROUPS","TOTAL",127844.955046492,100,117679,100
"Amador","Vehicle Driver","Auto / Van / Truck D",121769.790950766,57.1,114514,56.6
"Amador","&nbsp;","Rental Car/Vehicle",577.591962917864,0.3,578,0.3
"Amador","&nbsp;","TOTAL",122347.382913683,57.4,115092,56.9
"Amador","Vehicle Passenger","Auto / Van / Truck P",70671.5733375038,33.1,69552,34.4
"Amador","&nbsp;","Private shuttle (Sup",702.717975953659,0.3,350,0.2
"Amador","&nbsp;","TOTAL",71374.2913134574,33.5,69902,34.6
"Amador","Local Public Transit","School Bus ",1529.63788304066,0.7,1530,0.8
"Amador","&nbsp;","Local Bus, Rapid Bus",779.39089803759,0.4,779,0.4
"Amador","&nbsp;","TOTAL",2309.02878107825,1.1,2309,1.1
"Amador","Intercity Public Transportation","Plane",352.931991253184,0.2,124,0.1
"Amador","&nbsp;","TOTAL",352.931991253184,0.2,124,0.1
"Amador","Miscelleneous Modes","Walk",13714.3746084321,6.4,12086,6
"Amador","&nbsp;","Other Non-Motorized ",2699.36788913138,1.3,2699,1.3
"Amador","&nbsp;","Bike",401.149416187023,0.2,NA,NA
"Amador","&nbsp;","TOTAL",16814.8919137505,7.9,14786,7.3
"Amador","ALL GROUPS","TOTAL",213198.526913223,100,202213,100
"Butte","Vehicle Driver","Auto / Van / Truck D",518002.221674982,59.7,455822,60.7
"Butte","&nbsp;","Rental Car/Vehicle",726.523594820397,0.1,633,0.1
