"TABLES 17b and 17c: Weekday Commuters' Directional Travel Mode by County"
""
"County","Travel Mode","All Home-to-Work Trips","All Home-to-Work Trips (%)","7:00-9:00am Home-to-Work Commute Trips","7:00-9:00am Home-to-Work Commute Trips (%)"
"California","Vehicle Driver",16460065,81,4156993,82.7
"California","Vehicle Passenger",1428847,7,267407,5.3
"California","Local Public Transit",1386494,6.8,362236,7.2
"California","Intercity Public Transportation",2206,0,272,0
"California","Walk",583443,2.9,125686,2.5
"California","Bike",419383,2.1,105688,2.1
"California","Miscelleneous Modes",38758,0.2,10966,0.2
"California","Total",20319195,100,5029248,100
"Alameda","Vehicle Driver",706551,70.2,199680,66.4
"Alameda","Vehicle Passenger",50944,5.1,22664,7.5
"Alameda","Local Public Transit",176704,17.6,58096,19.3
"Alameda","Walk",29403,2.9,7145,2.4
"Alameda","Bike",41223,4.1,12725,4.2
"Alameda","Miscelleneous Modes",1240,0.1,363,0.1
"Alameda","Total",1006066,100,300672,100
"Alpine","Vehicle Driver",188,40,79,100
"Alpine","Total",470,100,79,100
"Amador","Vehicle Driver",11923,81.5,3541,89.2
"Amador","Vehicle Passenger",1870,12.8,99,2.5
"Amador","Walk",642,4.4,329,8.3
"Amador","Total",14632,100,3970,100
"Butte","Vehicle Driver",73468,92.9,17120,94.1
"Butte","Vehicle Passenger",2852,3.6,743,4.1
"Butte","Bike",1898,2.4,329,1.8
"Butte","Total",79077,100,18192,100
"Calaveras","Vehicle Driver",17983,95.6,3997,97.7
"Calaveras","Vehicle Passenger",635,3.4,93,2.3
"Calaveras","Total",18811,100,4090,100
"Colusa","Vehicle Driver",9802,63.6,837,100
"Colusa","Total",15401,100,837,100
"Contra Costa","Vehicle Driver",529482,76.4,131789,76.3
"Contra Costa","Vehicle Passenger",34044,4.9,4629,2.7
"Contra Costa","Local Public Transit",105051,15.2,32423,18.8
"Contra Costa","Walk",15766,2.3,2931,1.7
"Contra Costa","Bike",7693,1.1,367,0.2
"Contra Costa","Miscelleneous Modes",1067,0.2,557,0.3
