"TABLE 50: Mode Share for Short Distance Trips by county"
""
"oCounty","Mode","< 1 mile","1 to 3 miles"
"Alameda","Bike",2.3,3.4
"Alameda","Transit",1.5,6
"Alameda","Walk",57.2,5.6
"Alameda","All Others",39,85.1
"Alpine","Walk",74.8,7.3
"Alpine","All Others",25.2,92.7
"Amador","Bike",0.4,1
"Amador","Transit",NA,2
"Amador","Walk",34.2,1.3
"Amador","All Others",65.4,95.7
"Butte","Bike",3.6,2.5
"Butte","Transit",1.7,2.7
"Butte","Walk",37.8,2.1
"Butte","All Others",56.8,92.7
"Calaveras","Bike",0.4,NA
"Calaveras","Walk",48.1,11.6
"Calaveras","All Others",51.5,88.4
"Colusa","Bike",3.2,0.1
"Colusa","Transit",NA,0.5
"Colusa","Walk",20,9.7
"Colusa","All Others",76.8,89.7
"Contra Costa","Bike",2.3,1.5
"Contra Costa","Transit",0.6,1.4
"Contra Costa","Walk",41.1,3.9
"Contra Costa","All Others",56.1,93.2
"Del Norte","Bike",2,0.6
"Del Norte","Transit",NA,0.3
"Del Norte","Walk",27.4,8.1
"Del Norte","All Others",70.6,91
"El Dorado","Bike",0.8,0.9
"El Dorado","Transit",0.2,2.8
"El Dorado","Walk",44.6,1.4
"El Dorado","All Others",54.3,94.9
"Fresno","Bike",4.2,1.3
"Fresno","Transit",0.7,2.7
"Fresno","Walk",36.5,4.5
"Fresno","All Others",58.6,91.5
"Glenn","Bike",1.5,3.4
"Glenn","Walk",20,2
"Glenn","All Others",78.5,94.6
"Humboldt","Bike",3.2,2.5
"Humboldt","Transit",0.7,1.9
"Humboldt","Walk",43,2.1
"Humboldt","All Others",53.1,93.5
"Imperial","Bike",4.8,0.3
"Imperial","Transit",0.3,1.2
"Imperial","Walk",32.5,2.8
"Imperial","All Others",62.4,95.7
"Inyo","Bike",3.5,2.3
"Inyo","Transit",NA,0.1
"Inyo","Walk",44.5,1.2
"Inyo","All Others",52,96.5
"Kern","Bike",1.8,1.1
"Kern","Transit",1.1,2.5
"Kern","Walk",43,5.3
"Kern","All Others",54,91.2
"Kings","Bike",3.6,0.7
"Kings","Transit",0.5,0.5
"Kings","Walk",45.6,2.5
"Kings","All Others",50.3,96.2
"Lake","Transit",NA,7.8
"Lake","Walk",39.5,1.8
"Lake","All Others",60.5,90.3
"Lassen","Bike",3.4,NA
"Lassen","Transit",NA,0.6
"Lassen","Walk",25.9,1.2
"Lassen","All Others",70.7,98.2
"Los Angeles","Bike",1.6,1.7
"Los Angeles","Transit",2.8,8.7
"Los Angeles","Walk",58.9,5.4
"Los Angeles","All Others",36.7,84.2
"Madera","Bike",1,4.1
"Madera","Transit",NA,0
"Madera","Walk",42.1,7.4
"Madera","All Others",56.9,88.5
"Marin","Bike",3.2,3.3
"Marin","Transit",0.5,2.3
"Marin","Walk",46.2,3.9
"Marin","All Others",50,90.5
"Mariposa","Bike",0.5,NA
"Mariposa","Walk",42.1,3.4
"Mariposa","All Others",57.4,96.6
"Mendocino","Bike",0.6,1.6
"Mendocino","Transit",NA,1.6
"Mendocino","Walk",37.2,10.9
"Mendocino","All Others",62.2,85.8
"Merced","Bike",1.3,0.5
"Merced","Transit",NA,1.1
"Merced","Walk",37,1.9
"Merced","All Others",61.7,96.5
"Modoc","Bike",2.8,5.8
"Modoc","Walk",15.6,3.2
"Modoc","All Others",81.6,91
"Mono","Bike",0.9,2.7
"Mono","Transit",0.1,2.6
"Mono","Walk",36.1,NA
"Mono","All Others",62.9,94.7
"Monterey","Bike",1.7,2.9
"Monterey","Transit",0.6,3.9
"Monterey","Walk",51,9.2
"Monterey","All Others",46.6,84
"Napa","Bike",0.6,0.7
"Napa","Transit",NA,0.3
"Napa","Walk",55.1,1.7
"Napa","All Others",44.3,97.4
"Nevada","Bike",1.7,5.3
"Nevada","Walk",41.7,2.8
"Nevada","All Others",56.6,91.9
"Orange","Bike",2.5,1.2
"Orange","Transit",1.1,2.7
"Orange","Walk",43.9,3.6
"Orange","All Others",52.4,92.5
"Placer","Bike",4.3,0.8
"Placer","Transit",0.9,0.6
"Placer","Walk",33.4,2.7
"Placer","All Others",61.4,96
"Plumas","Bike",3.8,3.2
"Plumas","Walk",26.6,1.6
"Plumas","All Others",69.6,95.3
"Riverside","Bike",1.7,1.1
"Riverside","Transit",1.6,2.1
"Riverside","Walk",36.2,4.1
"Riverside","All Others",60.5,92.7
"Sacramento","Bike",11.3,2.6
"Sacramento","Transit",0.2,1.8
"Sacramento","Walk",40.1,3.6
"Sacramento","All Others",48.4,92
"San Benito","Bike",5.4,1.5
"San Benito","Walk",38,2.2
"San Benito","All Others",56.6,96.2
"San Bernardino","Bike",1.9,0.4
"San Bernardino","Transit",0.9,2.9
"San Bernardino","Walk",39.1,3.6
"San Bernardino","All Others",58.1,93.1
"San Diego","Bike",2.7,1.4
"San Diego","Transit",1.9,6.3
"San Diego","Walk",48,4.8
"San Diego","All Others",47.4,87.5
"San Francisco","Bike",1.6,3.5
"San Francisco","Transit",4.9,22.1
"San Francisco","Walk",76.8,9.6
"San Francisco","All Others",16.7,64.7
