CTFIP,x1,x2,x3,x4,x5,x6
6001,379841,103459,224653,447828,162578,159622
6003,353,73,46,448,140,116
6005,7589,1571,3526,11690,6669,7282
6007,55971,23831,24924,53566,27111,33233
6009,10073,2024,3496,13016,8095,9291
6011,6921,1270,2667,5693,2201,2413
6013,284897,59439,125027,312567,119903,122977
6015,7118,1993,3673,8484,3331,3872
6017,46554,8595,16831,56402,25963,24709
6019,306276,73615,129054,229025,82704,88157
6021,8744,1816,3380,7347,3045,3604
6023,32200,12241,18628,34861,18096,17031
6025,55457,13108,23023,44366,14789,17309
6027,4406,866,1917,5088,2765,3392
6029,276520,63624,116644,215343,71781,71781
6031,46243,13601,25540,42163,11939,11636
6033,15642,3219,6373,18024,10106,11007
6035,7192,3052,6139,11577,3859,3263
6037,2761586,731869,1483255,2810378,956309,1014859
6039,47128,10342,20092,38560,15069,16547
6041,55438,10441,24363,80547,38533,39279
6043,3749,860,1500,5414,3109,3658
6045,21872,5249,10061,23621,13648,13036
6047,90252,19555,34346,62675,21059,22814
6049,2267,480,903,2497,1652,1806
6051,3448,1154,1933,4394,1822,1154
6053,123453,32187,60300,109193,40336,41966
6055,34853,8445,15952,37802,16756,20242
6057,21699,4418,8935,27688,16986,18459
6059,830347,207587,415174,880761,305449,326208
6061,91522,17833,37012,98924,41050,50135
6063,4384,734,1631,5853,3874,3915
6065,679247,145553,274230,569555,194071,246807
6067,401801,99055,203691,390640,143700,156256
6069,17710,3487,6975,15803,5395,5122
6071,667761,154407,278735,549449,180476,174460
6073,816066,262955,456393,843269,302247,341539
6075,123900,57610,164937,244643,91544,106538
6077,222966,47153,89591,182549,63320,68035
6079,63738,28151,29745,70909,33994,39040
6081,172560,40147,97901,219046,83815,90858
6083,116910,43685,54087,106093,42437,52838
6085,466158,113061,267867,533995,173940,184376
6087,67051,24662,31856,73474,32883,26975
6089,45819,10968,18929,48118,24413,28659
6091,666,94,158,1037,730,680
6093,10457,2145,3977,12111,7463,8536
6095,115222,28293,54126,120962,47565,43874
6097,120408,31287,58308,137000,63522,63522
6099,164627,36697,69826,137104,48420,53007
6101,28680,6259,12612,24850,9529,11491
6103,17896,3504,6821,16770,7759,9824
6105,2809,658,1260,3836,2644,2494
6107,155015,31346,60117,105633,37358,39935
6109,11271,3140,6056,15701,9084,10822
6111,237060,55017,101944,236251,86572,92235
6113,57943,25534,27106,48712,18463,18660
6115,23056,5408,10318,18359,7116,6903
