CTFIP,Veh0,Veh1,Veh2,Veh3
6001,54261,180802,187954,109009
6003,7,107,175,121
6005,593,3500,5772,4850
6007,6027,27126,32002,20310
6009,649,4249,7356,6540
6011,474,1971,2751,1776
6013,20375,106621,145565,95526
6015,738,4062,3014,2092
6017,2268,15586,28353,22187
6019,25681,94480,106286,57389
6021,559,2690,3536,2875
6023,3492,18707,21010,11067
6025,4874,15182,15966,11282
6027,567,2518,2911,1986
6029,18445,76766,93472,59374
6031,2627,11886,16265,9828
6033,1574,7978,8686,6942
6035,650,2874,3348,3404
6037,305743,1117188,1134459,660499
6039,2340,11869,16264,11616
6041,5264,35038,42649,19776
6043,341,2115,2878,2390
6045,2194,11341,12419,8420
6047,5814,21719,28596,17457
6049,303,1176,1525,973
6051,283,1773,1829,1398
6053,7950,38913,46314,31786
6055,2634,14445,19324,12776
6057,1590,10742,16639,12284
6059,45808,283413,408958,246324
6061,4881,35000,55370,33902
6063,438,3122,3813,2717
6065,30352,198785,262711,175058
6067,36761,174631,192817,104290
6069,815,3680,6079,6238
6071,30493,164656,224970,176006
6073,65128,339805,419394,237462
6075,99748,138460,71341,26407
6077,13443,61951,79955,57556
6079,4523,30701,39813,27397
6081,14380,79727,100597,61054
6083,9367,46169,52663,33594
6085,31181,171221,245826,148519
6087,5201,27257,36741,24603
6089,4833,20938,26345,16984
6091,72,379,583,403
6093,1497,6318,7056,5226
6095,7072,38841,53198,39900
6097,9780,56895,72595,44763
6099,11055,47803,64220,40763
6101,1955,8342,13021,8055
6103,1390,7238,8977,5905
6105,120,1651,2301,1817
6107,9109,39038,49979,28538
6109,1110,6657,7700,6725
6111,10955,69956,106309,77085
6113,4944,23535,26140,14767
6115,1241,6734,9687,6088
