"TABLE 1: Persons/Vehicle per Household by County"
""
"County","Persons per Household","Vehicles per Household"
"California",2.69485771390814,1.81245368485416
"Alameda",2.54238069739416,1.721005060209
"Alpine",2.42183419487826,2.27687229348308
"Amador",2.3262704399649,2.10143875024168
"Butte",2.40453057768598,1.88672814906623
"Calaveras",2.30378807547833,2.16431651483486
"Colusa",2.80369614419099,1.9004592234652
"Contra Costa",2.62449513756985,1.9334637231218
"Del Norte",2.28281626444813,1.73060359937717
"El Dorado",2.50541646231276,2.19320563637126
"Fresno",2.8636606416924,1.76570002674497
"Glenn",2.78809716726413,2.10192255207274
"Humboldt",2.2534585065869,1.75827235606559
"Imperial",3.06026875522733,1.78777624364244
"Inyo",2.2253223774102,1.90961385869783
"Kern",2.95163214448776,1.86912322856229
"Kings",3.04039438266744,1.93445875733865
"Lake",2.35485809989284,1.91091667814458
"Lassen",2.53417865285734,2.25690849235971
"Los Angeles",2.74360296808073,1.74818615688039
"Madera",2.9751906931504,1.95117393968482
"Marin",2.24635558271612,1.78794731369308
"Mariposa",2.23815913122304,2.02004033697021
"Mendocino",2.36442428866466,1.90167691220554
"Merced",3.1302134038835,1.91187282099429
"Modoc",2.25781425764644,1.87789758420783
"Mono",2.44667386666073,1.92517697056776
"Monterey",2.76089854134078,1.92312502728532
"Napa",2.5579053636929,1.99970348947011
"Nevada",2.32163118750252,2.08705696817025
"Orange",2.77750024582971,1.96505319933489
"Placer",2.54686635908204,1.98477133210759
"Plumas",2.16998699067348,1.95984604005186
"Riverside",2.94805614701872,1.97904252912395
"Sacramento",2.58301585679687,1.77050955944619
"San Benito",2.99080406830052,2.219019878354
"San Bernardino",3.01620912559494,2.02730791677642
"San Diego",2.60930422132355,1.84862791470085
"San Francisco",2.08677147279861,1.08316677917197
"San Joaquin",2.96328244577873,1.93130104804665
"San Luis Obispo",2.39997546668839,2.00115003425484
"San Mateo",2.55159260034424,1.89860074918232
"Santa Barbara",2.649714388563,1.88417513553162
"Santa Clara",2.70675458816445,1.93520815322778
"Santa Cruz",2.47191839568503,1.95498248365519
"Shasta",2.44164979547469,1.85012731145054
"Sierra",1.99670656319533,1.96021105726754
"Siskiyou",2.32085309740517,1.88352149324483
"Solano",2.66543360446394,1.99541156867766
"Sonoma",2.39192640976071,1.92012478661165
"Stanislaus",2.90320335665748,1.91509755469742
"Sutter",2.90015394125934,1.93613293290477
"Tehama",2.59208453316601,1.9066029862942
"Trinity",2.19856771382254,2.25360501349201
"Tulare",3.1270067348063,1.86101919097514
"Tuolumne",2.30901714688506,2.05570522083718
"Ventura",2.82906789767474,2.07495277113318
"Yolo",2.55387402900091,1.7833440945055
"Yuba",2.74166787003902,1.9473409107315
