"TABLE 15a: Person and Vehicle Miles Traveled Per Household"
""
"Household Income","PMT/HH","VMT/HH"
"$0 to $9,999",30.2290121823502,12.912817638892
"$10,000 to $24,999",43.7740828660166,17.6497481102584
"$25,000 to $34,999",55.5169615064197,36.0212612409268
"$35,000 to $49,999",65.3071909883733,28.1819198896261
"$50,000 to $74,999",120.53842692974,32.6179428132506
"$75,000 to $99,999",73.1893243118008,39.1472279268231
"$100,000 to $149,999",69.203886698899,37.5036726801685
"$150,000 to $199,999",197.94772078417,90.5856927133772
"$200,000 to $249,999",509.26845596504,85.7144117065392
"$250,000 or more",209.260965707811,123.603355813738
"DK ",51.3231652399096,29.8370783621595
"RF",149.919743161068,69.8251540995502
"$10,000 to $24,999",44.6991962719767,16.8012862696606
"$50,000 to $74,999",185.352442573378,124.330864564457
"$75,000 to $99,999",189.304401056977,189.304401056977
"$0 to $9,999",8.37891047362824,8.25744859427113
"$10,000 to $24,999",63.052383503617,45.714044955194
"$25,000 to $34,999",116.475565752764,60.2291087448287
"$35,000 to $49,999",34.7639081775266,21.5946247264326
"$50,000 to $74,999",82.7012457803872,65.5790304839316
"$75,000 to $99,999",51.5003685522111,48.3353412615932
"$100,000 to $149,999",305.427533473698,77.6028893125735
"$150,000 to $199,999",81.3548534516176,72.5117239242667
"$200,000 to $249,999",62.1716072967685,62.1716072967685
"$250,000 or more",1945.59651030863,326.06321078013
"RF",117.986100980224,102.586648294989
"$0 to $9,999",15.6019767871703,10.3772638963135
"$10,000 to $24,999",46.7004830147734,16.587447298829
"$25,000 to $34,999",36.8695760976656,32.663262511289
"$35,000 to $49,999",35.7584721318694,27.0203073144487
"$50,000 to $74,999",101.705428008812,71.7428361946996
"$75,000 to $99,999",102.65454747321,67.6981361784934
"$100,000 to $149,999",70.3839829409841,51.2208828034521
"$150,000 to $199,999",347.102290709171,214.754869751575
"$200,000 to $249,999",260.232180565046,246.77751489066
"$250,000 or more",218.020289951341,184.493497625521
"DK ",15.4177833931176,12.937756875566
"RF",24.6786051330082,11.1638923389439
"$0 to $9,999",42.6868077715669,38.0577391847281
"$10,000 to $24,999",49.5189194545787,39.2001565312934
"$25,000 to $34,999",16.5225691552912,10.6563668907984
"$35,000 to $49,999",45.0517998512526,39.4782444819829
"$50,000 to $74,999",127.984496079508,102.109327790649
"$75,000 to $99,999",166.610196016213,128.718698205887
"$100,000 to $149,999",58.1320652090276,51.4889438427154
"$150,000 to $199,999",244.59887595526,233.738374549101
"$200,000 to $249,999",93.384037795946,67.9424278346
"$250,000 or more",116.774061331313,58.2090732818787
"DK ",446.76432741073,160.354448514759
"RF",148.783479406969,74.1771058171442
"$0 to $9,999",1.84371409253074,0.387862615462731
"$10,000 to $24,999",14.8765194841571,12.3235471932146
"$25,000 to $34,999",30.3569994345027,29.0969724702631
"$35,000 to $49,999",272.908664065988,62.0430638998779
"$50,000 to $74,999",59.7343537410292,46.7556865990976
"$75,000 to $99,999",194.185609432625,81.7508520891096
"$100,000 to $149,999",122.463184236195,75.3075206315625
"DK ",45.5544253667603,44.7137475360431
"RF",244.646501574494,80.2162699878396
"$0 to $9,999",60.9162543128367,31.7897532224095
"$10,000 to $24,999",26.7822338161972,18.3789377278191
"$25,000 to $34,999",41.8591508179262,28.3618822677076
"$35,000 to $49,999",63.5689430908198,36.8685301030326
"$50,000 to $74,999",49.0778100745678,36.1647151154511
"$75,000 to $99,999",109.802460445401,67.2693863732879
"$100,000 to $149,999",108.526594867014,51.4199143690218
"$150,000 to $199,999",201.253520522979,121.38541042647
"$200,000 to $249,999",227.697390140835,118.480570128022
"$250,000 or more",215.126880624328,111.840585705983
"DK ",241.983302429659,101.795027347256
"RF",136.143558553938,81.1213711716338
"$0 to $9,999",65.1998596285857,56.9326568868555
"$10,000 to $24,999",37.0358158036051,34.5885506666537
"$25,000 to $34,999",45.7386699790792,31.7726972930347
"$35,000 to $49,999",59.2638802580523,42.3263275613063
"$50,000 to $74,999",66.4788839511121,20.9949883555153
"$75,000 to $99,999",160.107482208305,139.63024961621
"$100,000 to $149,999",80.1706380495482,40.1097911683201
"$150,000 to $199,999",468.548561593782,220.669437426544
"RF",502.804463963985,31.3437696336862
"$0 to $9,999",25.2082253040874,5.31494870393173
"$10,000 to $24,999",42.4936707295622,31.5814413188756
"$25,000 to $34,999",49.6762655015907,31.5331421931919
"$35,000 to $49,999",32.6204141250828,25.4892411265991
"$50,000 to $74,999",62.9261979563083,49.6659699536814
"$75,000 to $99,999",166.914430468417,78.1265640887222
"$100,000 to $149,999",74.8665375711299,47.1052259695764
"$150,000 to $199,999",184.548571426713,144.927819756491
"$200,000 to $249,999",186.74500068726,132.277664721891
"$250,000 or more",19.7128132379055,12.4234757861041
"DK ",30.1254275784458,17.1707923305882
"RF",72.2425656245796,52.2775512140363
"$0 to $9,999",46.1516517136128,14.8837721106076
"$10,000 to $24,999",36.9171862407316,22.7557736987187
"$25,000 to $34,999",59.8628136764738,40.1633280322944
"$35,000 to $49,999",63.0655958808294,45.8168160434057
"$50,000 to $74,999",70.4008896989815,47.8859795227634
"$75,000 to $99,999",124.549697528585,74.6752523879962
"$100,000 to $149,999",73.3631607672451,47.3345135727522
"$150,000 to $199,999",276.528396098906,188.896671262515
"$200,000 to $249,999",102.595768747004,79.1647229996915
"$250,000 or more",206.412786158183,99.8299568634275
"DK ",60.0030665909429,45.7433872507751
"RF",87.2396695554339,69.9030863756284
"$0 to $9,999",6.49903464391036,4.74932706771509
"$10,000 to $24,999",50.4143458314069,8.34245668537843
"$25,000 to $34,999",248.699848245738,188.084158427353
"$35,000 to $49,999",44.8241135949046,40.9263569232602
"$50,000 to $74,999",107.646851307516,75.5254613549143
"$75,000 to $99,999",166.091163838927,141.825835582839
"$100,000 to $149,999",57.3161878533174,46.7733331870666
"$150,000 to $199,999",23.3559101072752,23.3559101072752
"$200,000 to $249,999",511.856609752719,150.782002407491
"$250,000 or more",22.6969119214815,22.6969119214815
"DK ",11.3775098431923,8.95768455763862
"RF",139.582212887568,83.3465307835768
"$0 to $9,999",34.4425424534047,15.8661941321449
"$10,000 to $24,999",38.9650784656552,24.2488574326622
"$25,000 to $34,999",46.5077449788689,33.4892191406725
"$35,000 to $49,999",39.1635643990503,29.2312705644836
"$50,000 to $74,999",63.9012396969166,40.7005361877256
"$75,000 to $99,999",57.5850430401745,40.426589506467
"$100,000 to $149,999",124.302384847927,67.4267544022
"$150,000 to $199,999",315.668391454922,220.382917206211
"$250,000 or more",20.1990274610927,20.1990274610927
"DK ",104.471117697887,93.9551141211024
"RF",129.974889684827,124.66824919637
"$0 to $9,999",21.4027459396035,12.0569662984976
"$10,000 to $24,999",166.431212042618,90.7636402536847
"$25,000 to $34,999",59.9100628442278,29.1359524333571
"$35,000 to $49,999",129.983173609149,94.8327050274234
"$50,000 to $74,999",143.259625870518,83.2440987910876
"$75,000 to $99,999",119.461162514295,80.7957936862635
"$100,000 to $149,999",90.5340597118662,58.9647489286102
"$150,000 to $199,999",2213.12245219335,877.223002224956
"$200,000 to $249,999",82.0633863363585,81.4172127470662
"$250,000 or more",112.033975679364,68.052649518849
"DK ",95.3729608700705,53.9200319850764
"RF",125.268979346457,121.536233655348
"$0 to $9,999",5.55415040184246,5.55415040184246
"$10,000 to $24,999",78.7950961514097,52.6321753638615
"$25,000 to $34,999",58.2399745074068,36.7482928022161
"$35,000 to $49,999",65.8805323577103,50.2561787798265
"$50,000 to $74,999",141.29434840439,123.116430873746
"$75,000 to $99,999",120.566760945935,82.2788682129952
"$100,000 to $149,999",99.8862437144803,56.9209863509558
"$150,000 to $199,999",15.4233327957305,8.29239236838259
"$200,000 to $249,999",80.491054473072,80.491054473072
