"TABLE 5: Licensed Drivers per Household by County"
""
"County","Licensed"
"California",1.8
"Alameda",1.79487779486047
"Alpine",1.88597585845039
"Amador",1.78565627665423
"Butte",1.75897769797963
"Calaveras",1.89478150414438
"Colusa",1.8802171508624
"Contra Costa",1.91881496966382
"Del Norte",1.73173444860622
"El Dorado",1.90462975854516
"Fresno",1.85642070004868
"Glenn",1.89539300028873
"Humboldt",1.68671624795279
"Imperial",1.90752814704293
"Inyo",1.67300460284481
"Kern",1.82640194269124
"Kings",1.87766955580935
"Lake",1.69799539199465
"Lassen",1.83448005621826
"Los Angeles",1.82101332372538
"Madera",1.94914429203686
"Marin",1.77814659434776
"Mariposa",1.77207565041448
"Mendocino",1.72933242085789
"Merced",1.90240260219763
"Modoc",1.7066149365539
"Mono",1.61197334358042
"Monterey",1.86065644205722
"Napa",1.94294464100657
"Nevada",1.9046809468392
"Orange",1.97656064554843
"Placer",1.89066597009746
"Plumas",1.67854403383753
"Riverside",1.99750872050372
"Sacramento",1.80012016340103
"San Benito",2.04261338020887
"San Bernardino",2.03913529108321
"San Diego",1.85319496746883
"San Francisco",1.49528719775319
"San Joaquin",1.94530409661069
"San Luis Obispo",1.8666484858346
"San Mateo",1.85620959933196
"Santa Barbara",1.86264769634286
"Santa Clara",1.93476369578704
"Santa Cruz",1.81913307878874
"Shasta",1.79543293152381
"Sierra",1.67864392469376
"Siskiyou",1.6647257696742
"Solano",1.94315844531323
"Sonoma",1.83204342451743
"Stanislaus",1.90850481835655
"Sutter",1.84858295783482
"Tehama",1.87881111210247
"Trinity",1.80581309390185
"Tulare",1.83563596136586
"Tuolumne",1.81768097957897
"Ventura",2.05026505231195
"Yolo",1.83270554850051
"Yuba",1.80189553249136
