"TABLE 9: Weekday Trip Type Distribution"
""
"County","Trip.Type","Number","Percent"
"California","HO",48569021.0151318,45.35
"California","OO",23251756.0520984,21.71
"California","HS",13661939.350475,12.76
"California","HW",12524576.2899816,11.7
"California","WO",4551043.91876789,4.25
"California","HH",4272347.35508414,3.99
"California","WW",256408.232368082,0.24
"California","TOTAL",107087092,100
"Alameda","HO",1962467.29062884,41.67
"Alameda","OO",969396.800541999,20.58
"Alameda","HW",738963.196336546,15.69
"Alameda","HS",521422.984574669,11.07
"Alameda","WO",366927.669943384,7.79
"Alameda","HH",131109.3154959,2.78
"Alameda","WW",19487.8696633689,0.41
"Alameda","TOTAL",4709775,99.99
"Alpine","HO",1048.90157005597,45.83
"Alpine","OO",761.839269621371,33.29
"Alpine","HS",329.486600852858,14.4
"Alpine","HW",141.662398915838,6.19
"Alpine","HH",6.78375603594515,0.3
"Alpine","TOTAL",2289,100.01
"Amador","HO",41770.6490413733,42.9
"Amador","OO",24610.515202889,25.28
"Amador","HS",13612.541079355,13.98
"Amador","HW",12598.2878219431,12.94
"Amador","WO",4430.17360683038,4.55
"Amador","HH",284.18859485129,0.29
"Amador","WW",59.4975015783039,0.06
"Amador","TOTAL",97366,100
"Butte","HO",287456.316716056,47.6
"Butte","OO",130609.257568825,21.63
"Butte","HS",75909.8750356704,12.57
"Butte","HW",63791.9726824845,10.56
"Butte","WO",29754.0608378332,4.93
"Butte","HH",13466.1193217249,2.23
"Butte","WW",2874.56743405497,0.48
"Butte","TOTAL",603862,100
"Calaveras","HO",50050.3233301312,45.75
"Calaveras","OO",24640.0333552651,22.52
"Calaveras","HW",17632.2530877685,16.12
"Calaveras","HS",8312.2798034766,7.6
"Calaveras","WO",5549.82063484385,5.07
"Calaveras","HH",2704.32500361159,2.47
"Calaveras","WW",515.528400033091,0.47
"Calaveras","TOTAL",109405,100
"Colusa","HO",23502.8241504744,44.54
"Colusa","OO",8616.66447368325,16.33
"Colusa","HW",8398.11270680697,15.92
"Colusa","HS",6951.83735440147,13.18
"Colusa","WO",2764.73666222104,5.24
"Colusa","HH",2331.61107556185,4.42
"Colusa","WW",199.123608351688,0.38
"Colusa","TOTAL",52765,100.01
"Contra Costa","HO",1344413.45841191,42.59
"Contra Costa","OO",660186.759743534,20.92
"Contra Costa","HW",512109.219458742,16.22
"Contra Costa","HS",304103.252068474,9.63
"Contra Costa","WO",219076.195105429,6.94
"Contra Costa","HH",106439.109670494,3.37
"Contra Costa","WW",10066.592208368,0.32
"Contra Costa","TOTAL",3156395,99.99
"Del Norte","HO",23236.6762376859,39.04
"Del Norte","OO",13693.0418293868,23.01
"Del Norte","HS",9032.74793997991,15.18
"Del Norte","HW",8061.95290376614,13.54
"Del Norte","HH",2733.03790303314,4.59
"Del Norte","WO",2352.94967445319,3.95
"Del Norte","WW",409.871558146984,0.69
"Del Norte","TOTAL",59520,100
"El Dorado","HO",197013.094421981,42.5
"El Dorado","OO",94613.9329463167,20.41
"El Dorado","HW",72667.9326639436,15.68
"El Dorado","HS",51322.6306993358,11.07
"El Dorado","WO",38471.6012916885,8.3
"El Dorado","HH",8598.95737174327,1.86
"El Dorado","WW",825.830721696791,0.18
"El Dorado","TOTAL",463514,100
"Fresno","HO",1125308.0865809,45.48
"Fresno","OO",476364.573321419,19.25
"Fresno","HW",410268.157531576,16.58
"Fresno","HS",251730.748677843,10.17
"Fresno","WO",118303.642857014,4.78
"Fresno","HH",86349.8728650088,3.49
"Fresno","WW",6187.28948443282,0.25
"Fresno","TOTAL",2474512,100
"Glenn","HO",25880.286209966,40.39
"Glenn","OO",14125.5342819064,22.05
"Glenn","HW",13169.6371340789,20.55
"Glenn","HS",5888.75212099566,9.19
"Glenn","WO",2978.51546050373,4.65
"Glenn","HH",1470.2944585339,2.29
"Glenn","WW",558.984019521045,0.87
"Glenn","TOTAL",64072,99.99
"Humboldt","HO",155221.393542443,42.28
"Humboldt","OO",87204.9274872731,23.75
"Humboldt","HW",56024.4095836004,15.26
"Humboldt","HS",45730.0521233704,12.45
"Humboldt","WO",15525.1038185518,4.23
"Humboldt","HH",6173.19685598936,1.68
"Humboldt","WW",1283.40316066969,0.35
"Humboldt","TOTAL",367162,100
"Imperial","HO",216767.778307507,49.29
"Imperial","OO",77255.2637776268,17.57
"Imperial","HW",67890.7339752438,15.44
"Imperial","HS",43754.0631220184,9.95
"Imperial","WO",16120.1967916731,3.67
"Imperial","HH",16045.4171559123,3.65
"Imperial","WW",1921.14078180718,0.44
"Imperial","TOTAL",439755,100.01
"Inyo","HO",22407.4337670791,42.99
"Inyo","OO",11976.5728947635,22.98
"Inyo","HW",10085.5719472046,19.35
"Inyo","HS",3941.59051643544,7.56
"Inyo","WO",2992.84629217431,5.74
"Inyo","HH",580.116259456414,1.11
"Inyo","WW",143.532006711843,0.28
"Inyo","TOTAL",52128,100.01
"Kern","HO",860735.255657267,40.73
"Kern","OO",464127.394829669,21.96
"Kern","HW",339555.951683054,16.07
"Kern","HS",296045.882103264,14.01
"Kern","WO",98468.8925903947,4.66
"Kern","HH",50262.4418615568,2.38
"Kern","WW",4067.92644761465,0.19
"Kern","TOTAL",2113264,100
"Kings","HO",170500.116861829,45.49
"Kings","OO",68686.2380477325,18.33
"Kings","HS",64026.619902197,17.08
"Kings","HW",51374.21964659,13.71
"Kings","WO",10712.2732159952,2.86
"Kings","HH",9279.99107652544,2.48
"Kings","WW",188.054943665938,0.05
"Kings","TOTAL",374768,100
"Lake","HO",74598.1892432797,43.41
"Lake","OO",49820.8505515725,28.99
"Lake","HW",20943.7513359188,12.19
"Lake","HS",18436.3391299316,10.73
"Lake","WO",5550.49638129808,3.23
"Lake","HH",2202.90297825806,1.28
"Lake","WW",302.339030100624,0.18
"Lake","TOTAL",171855,100.01
"Lassen","HO",35193.7038843412,39.89
"Lassen","OO",24957.877377741,28.29
"Lassen","HS",13525.3219061983,15.33
