"TABLE A: Household Vehicle Availability"
""
"Household Information"
"Vehicles Available",22534548
"Vehicles In Use on Average Weekday (66.96%)",15089177
"Full-Time/Part-Time Employees",14747528
"Licensed Drivers",22967212
"Occupied Housing Units (Household)",12433172
"Single Housing Units",69.2
"Multiple Housing Units",30.5
"Other Housing Units",0.2
"Median Household Income",61130.5363974373
"Persons per Household",2.7
"Vehicles per Household",1.8
"Full/Part-Time Employees Per Household",1.2
"Licensed Drivers Per Household",1.8
